start	end	speaker	text
63.802	63.835	SPEAKER_00	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
63.937	64.055	SPEAKER_00	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
64.628	65.692	SPEAKER_00	<no speech detected>
66.957	74.230	SPEAKER_01	<no speech detected>
67.447	68.138	SPEAKER_00	悪空に悪空に悪空に悪空に悪空に
74.804	76.981	SPEAKER_01	A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A
80.947	83.967	SPEAKER_01	<no speech detected>
80.997	81.487	SPEAKER_02	悪空に悪空に悪空に悪空に悪空に
82.043	82.516	SPEAKER_02	<no speech detected>
83.157	83.309	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
85.334	89.924	SPEAKER_01	<no speech detected>
90.312	96.590	SPEAKER_01	<no speech detected>
96.742	100.336	SPEAKER_01	<no speech detected>
100.555	102.378	SPEAKER_01	<no speech detected>
102.378	102.530	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
102.530	105.618	SPEAKER_01	<no speech detected>
107.491	108.638	SPEAKER_01	<no speech detected>
108.638	109.448	SPEAKER_02	悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空が悪空
109.448	112.368	SPEAKER_01	<no speech detected>
112.553	112.570	SPEAKER_01	このようなアイスは、このようなアイスは、アイスは、アイスは、アイスは、
112.570	112.756	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
114.562	126.610	SPEAKER_01	<no speech detected>
126.931	128.635	SPEAKER_01	<no speech detected>
129.175	140.093	SPEAKER_01	<no speech detected>
140.093	140.161	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
140.161	140.178	SPEAKER_01	このようなアイスは、このようなアイスは、アイスは、アイスは、アイスは、
140.178	140.279	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
140.279	146.371	SPEAKER_01	<no speech detected>
147.772	148.582	SPEAKER_00	<no speech detected>
148.582	151.012	SPEAKER_01	H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H
152.142	156.445	SPEAKER_02	<no speech detected>
156.445	156.698	SPEAKER_01	<no speech detected>
156.985	160.782	SPEAKER_00	<no speech detected>
161.120	162.031	SPEAKER_00	<no speech detected>
161.980	164.174	SPEAKER_02	A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A-A
164.798	167.431	SPEAKER_02	<no speech detected>
168.410	169.777	SPEAKER_02	<no speech detected>
170.587	170.671	SPEAKER_02	<no speech detected>
170.671	171.498	SPEAKER_01	リアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリアリ
171.498	174.704	SPEAKER_02	<no speech detected>
174.721	174.738	SPEAKER_02	<no speech detected>
174.738	197.688	SPEAKER_00	<no speech detected>
198.363	200.118	SPEAKER_01	<no speech detected>
200.050	205.788	SPEAKER_00	<no speech detected>
205.788	207.847	SPEAKER_02	<no speech detected>
207.965	208.032	SPEAKER_02	このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この
208.285	209.028	SPEAKER_02	悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ、悪空に溢れ
214.968	215.660	SPEAKER_02	<no speech detected>
215.727	216.183	SPEAKER_02	悪空の空に悪空の空に悪空の空に悪空に悪空に
216.183	218.275	SPEAKER_00	<no speech detected>
223.945	243.183	SPEAKER_00	<no speech detected>
244.145	246.203	SPEAKER_00	H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H
247.452	251.958	SPEAKER_00	<no speech detected>
252.430	266.285	SPEAKER_00	<no speech detected>
267.888	272.900	SPEAKER_02	<no speech detected>
273.997	274.891	SPEAKER_00	<no speech detected>
274.958	276.038	SPEAKER_02	<no speech detected>
276.038	276.545	SPEAKER_01	悪空に悪空に悪空に悪空に悪空に
276.460	278.823	SPEAKER_00	H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H-H
278.823	284.189	SPEAKER_01	<no speech detected>
282.012	282.552	SPEAKER_00	悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪い悪悪悪悪悪悪悪悪悪悪悪悪�
285.505	288.458	SPEAKER_01	<no speech detected>
291.479	293.048	SPEAKER_01	溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶かに 溶
295.428	297.976	SPEAKER_01	<no speech detected>
299.849	303.730	SPEAKER_00	<no speech detected>
304.135	305.384	SPEAKER_01	<no speech detected>
304.642	312.218	SPEAKER_00	<no speech detected>
305.384	305.401	SPEAKER_02	このようなアイスは、このようなアイスは、アイスは、アイスは、アイスは、
313.433	315.492	SPEAKER_01	<no speech detected>
